"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"30269",30,"admin.","married","university.degree","no","yes","no","cellular","apr","thu",316,1,999,1,"failure",-1.8,93.075,-47.1,1.365,5099.1,"yes"
"9966",35,"blue-collar","married","basic.6y","unknown","no","no","telephone","jun","wed",147,4,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"36756",57,"management","married","university.degree","no","yes","no","cellular","jun","tue",337,3,999,0,"nonexistent",-2.9,92.963,-40.8,1.286,5076.2,"no"
"30854",44,"entrepreneur","married","basic.4y","no","yes","no","cellular","may","tue",955,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"yes"
"30959",32,"management","divorced","university.degree","no","no","no","cellular","may","tue",342,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no"
"741",48,"admin.","divorced","high.school","no","no","no","telephone","may","tue",233,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"38808",32,"admin.","single","university.degree","no","yes","no","telephone","nov","fri",2184,2,999,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes"
"20199",52,"blue-collar","married","basic.6y","unknown","yes","no","cellular","aug","mon",108,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"31168",41,"admin.","single","basic.9y","unknown","no","no","cellular","may","wed",195,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
"34707",31,"blue-collar","single","basic.9y","no","no","no","cellular","may","thu",304,2,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
"24580",37,"entrepreneur","married","university.degree","unknown","no","no","cellular","nov","mon",94,2,999,1,"failure",-0.1,93.2,-42,4.191,5195.8,"no"
"27198",41,"admin.","divorced","high.school","no","yes","no","cellular","nov","fri",199,2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
"35354",29,"admin.","single","high.school","no","no","no","cellular","may","fri",138,2,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
"4033",48,"services","divorced","high.school","unknown","yes","yes","telephone","may","mon",158,2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"24826",32,"services","married","basic.6y","unknown","yes","no","telephone","nov","tue",368,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"13702",49,"management","divorced","university.degree","no","no","no","cellular","jul","thu",161,5,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"31124",34,"blue-collar","married","basic.9y","no","no","yes","cellular","may","wed",439,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
"15093",42,"housemaid","married","basic.9y","no","yes","no","cellular","jul","thu",410,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
"33648",34,"services","divorced","basic.6y","unknown","unknown","unknown","cellular","may","wed",136,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
"1001",34,"entrepreneur","married","basic.4y","no","no","no","telephone","may","wed",214,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"30994",48,"blue-collar","married","basic.6y","no","yes","no","cellular","may","tue",862,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"yes"
"33709",49,"admin.","married","basic.4y","no","yes","no","cellular","may","wed",43,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
"32896",28,"blue-collar","married","basic.9y","unknown","unknown","unknown","telephone","may","mon",267,1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
"131",37,"blue-collar","married","basic.6y","no","yes","yes","telephone","may","mon",143,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"23112",37,"admin.","married","university.degree","no","no","no","cellular","aug","tue",85,12,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"35167",37,"services","married","high.school","no","no","no","cellular","may","fri",228,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
"13003",26,"management","single","university.degree","no","no","no","cellular","jul","tue",517,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"8033",32,"services","married","high.school","no","yes","no","telephone","jun","mon",29,32,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
"18506",32,"technician","single","professional.course","no","yes","no","cellular","jul","thu",81,2,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
"5779",27,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","mon",293,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"1826",53,"admin.","married","university.degree","unknown","yes","no","telephone","may","fri",231,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"31407",52,"blue-collar","married","basic.4y","unknown","no","no","cellular","may","wed",239,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
"15514",33,"entrepreneur","married","basic.6y","no","yes","no","cellular","jul","fri",168,7,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"2823",41,"admin.","single","university.degree","no","yes","no","telephone","may","wed",139,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"27608",29,"admin.","single","university.degree","no","yes","no","cellular","nov","fri",118,2,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,"no"
"17158",31,"admin.","single","high.school","no","no","no","cellular","jul","fri",168,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"12435",45,"admin.","divorced","university.degree","no","no","no","cellular","jul","mon",107,3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"2185",34,"blue-collar","married","basic.9y","no","no","yes","telephone","may","mon",92,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"26838",33,"admin.","single","university.degree","no","no","no","cellular","nov","thu",206,2,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,"no"
"24770",34,"entrepreneur","single","basic.9y","no","no","no","cellular","nov","tue",386,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"28934",34,"admin.","married","high.school","no","yes","yes","cellular","apr","fri",329,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"34328",27,"admin.","married","high.school","no","no","no","cellular","may","thu",244,1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
"25412",36,"technician","single","professional.course","no","yes","no","cellular","nov","tue",216,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"28552",36,"self-employed","divorced","basic.9y","no","yes","no","cellular","apr","wed",93,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.415,5099.1,"no"
"17038",37,"technician","married","basic.6y","unknown","no","no","cellular","jul","fri",130,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"11553",36,"blue-collar","married","basic.9y","no","yes","no","telephone","jun","fri",560,3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes"
"13892",43,"blue-collar","divorced","basic.4y","no","yes","no","cellular","jul","fri",1242,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"8185",33,"technician","married","university.degree","unknown","yes","no","telephone","jun","tue",272,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"33580",33,"management","married","basic.9y","unknown","yes","no","cellular","may","tue",275,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
"40383",30,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",191,1,0,2,"success",-1.7,94.027,-38.3,0.9,4991.6,"yes"
"9006",34,"services","single","high.school","no","no","no","telephone","jun","thu",729,2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
"29854",33,"housemaid","married","basic.4y","no","yes","no","cellular","apr","mon",172,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"39688",54,"admin.","married","professional.course","no","no","no","telephone","may","mon",564,5,999,0,"nonexistent",-1.8,93.876,-40,0.685,5008.7,"no"
"17292",46,"student","single","unknown","no","yes","no","telephone","jul","fri",279,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes"
"38718",41,"admin.","married","university.degree","no","yes","no","cellular","nov","tue",95,1,3,1,"success",-3.4,92.649,-30.1,0.715,5017.5,"yes"
"34661",41,"technician","married","professional.course","no","no","yes","cellular","may","thu",226,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"25802",30,"admin.","married","university.degree","no","yes","yes","cellular","nov","wed",89,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
"21503",36,"admin.","married","university.degree","unknown","no","no","cellular","aug","tue",97,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"1493",43,"services","married","high.school","no","no","no","telephone","may","thu",205,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"4445",30,"services","married","high.school","no","yes","no","telephone","may","tue",261,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"24861",41,"admin.","married","university.degree","unknown","yes","no","cellular","nov","tue",88,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"10181",39,"admin.","married","high.school","unknown","yes","no","telephone","jun","thu",71,6,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
"9675",38,"technician","married","high.school","no","no","no","telephone","jun","mon",479,4,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"21468",45,"unknown","married","basic.9y","unknown","no","no","cellular","aug","tue",234,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"26634",37,"admin.","single","high.school","no","yes","no","cellular","nov","thu",1035,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"yes"
"29242",49,"services","divorced","high.school","no","no","no","cellular","apr","fri",300,3,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"4461",42,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","tue",78,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"22791",39,"unemployed","married","university.degree","unknown","no","yes","cellular","aug","mon",84,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"7144",49,"blue-collar","married","unknown","unknown","no","no","telephone","may","thu",246,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"19831",49,"admin.","married","high.school","no","yes","no","cellular","aug","fri",183,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"30986",41,"blue-collar","married","basic.4y","unknown","unknown","unknown","cellular","may","tue",124,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no"
"32674",27,"self-employed","married","university.degree","no","yes","no","cellular","may","mon",141,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
"3101",37,"admin.","divorced","basic.9y","unknown","no","no","telephone","may","thu",312,6,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"13228",31,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","wed",124,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"31620",35,"services","single","high.school","no","no","no","cellular","may","thu",146,1,999,1,"failure",-1.8,92.893,-46.2,1.327,5099.1,"no"
"7534",23,"services","single","high.school","no","no","no","telephone","may","fri",557,2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
"36000",60,"retired","married","university.degree","no","yes","no","cellular","may","tue",133,1,3,1,"success",-1.8,92.893,-46.2,1.266,5099.1,"yes"
"26393",42,"management","married","university.degree","no","no","no","cellular","nov","thu",316,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"32022",43,"blue-collar","married","basic.6y","unknown","yes","no","cellular","may","thu",172,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
"3321",45,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","thu",525,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"11922",38,"unknown","married","unknown","unknown","yes","no","telephone","jun","fri",13,2,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"19405",43,"technician","married","professional.course","unknown","no","no","cellular","aug","wed",54,3,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
"18462",32,"technician","single","professional.course","no","no","no","cellular","jul","thu",35,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
"27126",47,"blue-collar","married","basic.4y","unknown","no","yes","cellular","nov","fri",105,1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
"5457",55,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","fri",116,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"20352",52,"management","married","university.degree","no","yes","no","cellular","aug","tue",72,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"29725",45,"blue-collar","married","basic.9y","no","yes","no","cellular","apr","mon",174,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"18607",54,"admin.","married","university.degree","unknown","yes","no","cellular","jul","thu",324,3,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
"14350",31,"blue-collar","married","high.school","no","no","yes","cellular","jul","mon",218,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"24705",33,"unemployed","married","basic.9y","unknown","yes","no","cellular","nov","mon",150,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
"31293",37,"services","single","high.school","no","yes","no","cellular","may","wed",445,1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"yes"
"5133",48,"technician","married","high.school","no","no","no","telephone","may","fri",601,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"24434",46,"admin.","married","high.school","no","no","no","cellular","nov","mon",504,1,999,1,"failure",-0.1,93.2,-42,4.191,5195.8,"no"
"40055",33,"admin.","married","high.school","no","yes","yes","telephone","jul","wed",398,2,999,1,"failure",-1.7,94.215,-40.3,0.802,4991.6,"yes"
"31367",36,"admin.","single","basic.6y","no","yes","no","telephone","may","wed",125,2,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
"37728",28,"technician","single","professional.course","no","yes","no","cellular","aug","thu",78,3,999,0,"nonexistent",-2.9,92.201,-31.4,0.851,5076.2,"yes"
"3118",31,"services","married","high.school","no","yes","no","telephone","may","thu",183,5,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"13723",28,"admin.","single","university.degree","no","yes","no","telephone","jul","thu",310,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"4095",33,"unemployed","divorced","professional.course","no","unknown","unknown","telephone","may","mon",446,3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"28521",26,"unemployed","single","university.degree","no","yes","no","telephone","apr","tue",300,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.423,5099.1,"yes"
"12861",30,"technician","single","professional.course","no","no","no","cellular","jul","tue",156,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"32754",35,"admin.","single","university.degree","no","no","no","cellular","may","mon",386,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
"35637",28,"services","single","high.school","no","yes","no","cellular","may","mon",91,6,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
"31411",40,"housemaid","divorced","high.school","no","yes","no","cellular","may","wed",136,3,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
"21923",57,"services","divorced","high.school","unknown","no","no","cellular","aug","wed",71,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"5227",51,"services","married","unknown","unknown","no","no","telephone","may","fri",25,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"6796",52,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed",463,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"88",39,"admin.","married","university.degree","no","yes","yes","telephone","may","mon",192,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"28701",43,"management","married","unknown","unknown","no","yes","cellular","apr","thu",35,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no"
"11292",40,"retired","married","professional.course","no","yes","no","telephone","jun","thu",219,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"34039",28,"blue-collar","single","university.degree","unknown","no","no","cellular","may","wed",169,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
"3967",45,"services","married","basic.9y","no","no","yes","telephone","may","mon",298,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"2637",52,"management","married","basic.4y","unknown","yes","no","telephone","may","tue",288,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"20368",32,"admin.","married","university.degree","no","no","no","cellular","aug","tue",127,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"13949",29,"admin.","single","high.school","unknown","no","no","cellular","jul","fri",487,3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"17439",42,"self-employed","married","university.degree","no","no","no","cellular","jul","mon",84,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"28107",32,"blue-collar","married","basic.6y","no","yes","yes","cellular","apr","fri",205,2,999,1,"failure",-1.8,93.075,-47.1,1.479,5099.1,"no"
"16412",30,"technician","married","basic.9y","no","yes","no","cellular","jul","wed",161,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"5340",36,"blue-collar","single","high.school","no","yes","no","telephone","may","fri",423,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"22431",46,"services","married","unknown","no","yes","no","cellular","aug","fri",134,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"3841",49,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","fri",283,3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"20966",41,"admin.","divorced","university.degree","unknown","no","no","cellular","aug","thu",146,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"11987",28,"admin.","married","high.school","no","no","no","telephone","jun","wed",151,1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
"14741",30,"self-employed","single","university.degree","no","no","no","cellular","jul","wed",1147,4,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"9412",42,"services","single","high.school","no","no","no","telephone","jun","fri",207,4,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
"14809",43,"technician","single","professional.course","unknown","no","no","cellular","jul","wed",528,9,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"22451",30,"admin.","single","high.school","no","no","no","cellular","aug","fri",54,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"29572",43,"management","married","university.degree","no","yes","yes","cellular","apr","mon",21,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"794",40,"entrepreneur","married","basic.9y","no","no","no","telephone","may","wed",128,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"30640",25,"management","single","university.degree","no","yes","no","cellular","may","mon",362,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no"
"40595",60,"retired","married","university.degree","no","no","no","cellular","sep","thu",799,2,999,0,"nonexistent",-1.1,94.199,-37.5,0.884,4963.6,"yes"
"10112",40,"blue-collar","married","basic.4y","no","yes","no","telephone","jun","thu",134,1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
"4217",47,"technician","single","professional.course","unknown","no","no","telephone","may","tue",148,5,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"23823",48,"services","married","basic.6y","unknown","yes","no","cellular","aug","fri",131,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"29876",33,"blue-collar","married","high.school","no","yes","no","cellular","apr","mon",52,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"24896",37,"blue-collar","divorced","basic.6y","no","no","no","cellular","nov","tue",200,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"23515",51,"technician","married","professional.course","no","yes","no","cellular","aug","thu",47,13,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
"15161",26,"admin.","single","university.degree","no","no","no","cellular","jul","thu",184,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
"35861",49,"admin.","married","university.degree","no","no","no","telephone","may","fri",152,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.259,5099.1,"no"
"27499",40,"management","single","university.degree","no","no","no","cellular","nov","fri",139,3,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
"529",39,"technician","divorced","university.degree","no","no","no","telephone","may","tue",73,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"26484",59,"retired","married","professional.course","no","no","no","cellular","nov","thu",117,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"39436",33,"admin.","single","university.degree","no","yes","no","cellular","apr","mon",143,1,999,0,"nonexistent",-1.8,93.749,-34.6,0.642,5008.7,"no"
"31547",30,"blue-collar","married","basic.4y","no","no","no","cellular","may","thu",205,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
"13239",33,"admin.","married","high.school","no","yes","no","cellular","jul","wed",310,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"14189",35,"blue-collar","single","basic.9y","no","yes","no","cellular","jul","mon",126,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"21485",32,"admin.","single","university.degree","no","no","no","cellular","aug","tue",80,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"21061",34,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",248,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"9873",52,"technician","married","high.school","no","yes","no","telephone","jun","wed",78,1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"17887",36,"housemaid","married","basic.4y","no","yes","no","cellular","jul","tue",665,3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"26338",32,"entrepreneur","single","university.degree","no","no","yes","cellular","nov","thu",126,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"13897",37,"blue-collar","married","basic.9y","unknown","yes","no","cellular","jul","fri",216,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"39019",65,"management","married","unknown","no","yes","no","telephone","dec","wed",207,3,999,1,"failure",-3,92.713,-33,0.715,5023.5,"yes"
"24356",38,"blue-collar","married","basic.4y","no","no","no","cellular","nov","mon",112,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
"37536",43,"unemployed","married","high.school","no","no","no","cellular","aug","thu",319,4,3,2,"success",-2.9,92.201,-31.4,0.873,5076.2,"no"
"19387",30,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",72,1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
"26841",34,"entrepreneur","married","university.degree","no","yes","no","cellular","nov","thu",129,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"18451",35,"blue-collar","married","basic.9y","unknown","yes","no","telephone","jul","thu",19,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
"30317",51,"technician","divorced","high.school","no","no","yes","cellular","apr","thu",306,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes"
"18946",44,"blue-collar","married","basic.9y","no","no","no","cellular","aug","mon",135,3,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
"11284",31,"entrepreneur","married","high.school","no","yes","no","telephone","jun","thu",133,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"9921",39,"entrepreneur","married","university.degree","no","yes","no","telephone","jun","wed",63,1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"34690",22,"technician","single","professional.course","no","no","no","telephone","may","thu",29,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"8153",34,"blue-collar","married","basic.6y","unknown","no","no","telephone","jun","tue",180,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"23789",41,"admin.","married","university.degree","no","yes","no","cellular","aug","fri",47,13,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"13016",32,"blue-collar","single","basic.4y","no","yes","no","cellular","jul","tue",145,12,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"16198",31,"self-employed","single","high.school","no","no","no","cellular","jul","tue",196,3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"35522",52,"blue-collar","married","basic.9y","unknown","yes","no","cellular","may","mon",185,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
"12085",30,"entrepreneur","married","basic.9y","no","no","no","telephone","jun","fri",153,2,999,0,"nonexistent",1.4,94.465,-41.8,4.947,5228.1,"no"
"28439",57,"services","married","high.school","no","yes","no","cellular","apr","thu",275,2,999,1,"failure",-1.8,93.075,-47.1,1.435,5099.1,"no"
"6241",31,"technician","single","professional.course","no","yes","no","telephone","may","tue",198,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"4291",32,"technician","married","unknown","unknown","no","no","telephone","may","tue",274,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"10776",30,"blue-collar","divorced","basic.9y","no","yes","no","telephone","jun","tue",116,3,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"29548",59,"self-employed","married","professional.course","no","yes","no","cellular","apr","mon",274,5,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"35958",36,"self-employed","married","university.degree","no","yes","no","cellular","may","mon",176,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.264,5099.1,"no"
"11095",49,"services","married","high.school","unknown","no","no","telephone","jun","thu",97,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"35231",53,"blue-collar","married","professional.course","no","yes","no","cellular","may","fri",221,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
"23339",52,"technician","married","university.degree","no","no","no","cellular","aug","wed",15,7,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"327",26,"admin.","single","university.degree","no","yes","no","telephone","may","mon",231,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"35539",32,"self-employed","single","university.degree","no","no","no","cellular","may","mon",119,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
"6105",47,"admin.","married","high.school","no","no","no","telephone","may","tue",731,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes"
"34799",35,"services","married","high.school","no","yes","no","cellular","may","thu",223,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"6058",57,"self-employed","married","basic.9y","unknown","yes","yes","telephone","may","tue",122,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
